地区,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月
北京,144.1,141.8,142,142.1,141.4,140.6,140.7,139.8,139.1,138.6,138.9,138.1,136.7,135.9,135.7,135.6,135.6,135.3,135.3,135.1,134.9,134.7,133.6,134.9,134.9,134.9,135.2,135.4,135.3,135.4,136,136,135.7,135.2,135.2,135.2
天津,132.8,132.8,133.3,133.1,132.9,133.3,132.8,132.5,131.6,131.1,130.7,130.8,130.7,131.1,131,130.6,130.4,130.4,130,129.4,129.3,129.3,128,128.6,128.3,128.6,128.5,128.6,128.7,128.9,128.9,128.7,128.8,128.6,128.1,128.4
石家庄,154.6,154.7,154,152.6,150.5,150.4,148.9,147.2,146.5,144.6,143,142.2,138.7,136.8,132.4,130.9,129.7,127.1,126.7,125.2,124.9,124,123.6,123.8,123.8,123.5,123.2,122.9,122.7,122.4,121.8,121.9,121.8,120.7,120.4,120.3
唐山,137.3,134.8,132.5,131.8,129.3,128.5,126.8,125.7,125.1,123.9,123.3,122.6,122.7,121.1,119.6,118,114.7,112.8,111.4,111.1,110.4,109.5,109.4,108.5,107.8,107.2,107.3,107.7,107.5,107.3,106.3,105.9,103.6,102.6,102.4,102.2
秦皇岛,147.5,146,144.7,144.6,143.4,142.5,140.9,139.8,137.2,135.3,134.1,131.9,129.8,127.9,125.3,122.9,119.6,118.4,117.1,116.4,115.6,114,112.4,112.3,112.2,111.2,110.6,111.1,110.5,109.7,109.5,108.4,107.3,106.5,106.2,105.7
太原,131.2,131,131.1,130.5,129.4,129.3,128.6,128.1,127.3,126.6,125.6,124.4,123.3,121.7,121.1,119.9,117.6,116.3,115.6,114.8,113.2,112.5,112.3,111.9,111.2,110.8,110.1,109.5,109.3,108.8,107.5,106.6,105.2,104.6,104.2,103.7
呼和浩特,149.2,146.9,143.5,141.6,138.6,137.4,135.1,134,133.3,132.9,131.8,129.9,127.4,123.8,121.8,118.5,115.2,112.5,111.3,109.6,108.5,108,107.2,107.4,106.5,105.3,104.4,104.1,103,102.2,101.8,101.4,100.8,100.6,100.3,100.5
包头,122.6,122.5,121.8,121.1,119.8,119.7,120,119.3,118.4,117.5,116.9,116.3,116.3,115.8,114.2,113.6,110.9,108.9,107.9,107,106.4,105.7,102.7,104.4,103.3,102.4,102,101.7,101.1,100.7,100.4,99.9,99.3,99,98.9,98.7
沈阳,140.9,140,138.4,137.1,136,135.2,133.9,132.6,131.7,130.6,130,129.5,128.9,128,126.1,124.5,123.1,121.5,119.8,117.8,116.9,116.3,114.9,114.9,114.5,113.6,112.9,112.2,111.6,110.7,109,106.9,105,103.8,103.1,103
大连,136.3,136,135.7,136.1,135.4,134,132.5,130.7,129.8,128.5,126.2,126.3,125.2,123.4,122.6,121.9,120.7,119.5,117.3,115.4,114.1,113.3,112.4,110.4,109.6,108.4,107.7,107.1,106.6,105.7,105.1,104.1,103,102.4,101.9,101.9
丹东,127.6,127,126,124.7,124,123.5,123.8,123.3,122.6,120.3,119.6,119.1,116.9,115.7,115.3,114.1,113.7,113.1,109.6,104,102,101.6,102,101.7,100.6,99.6,99.6,99.3,99,98.4,98.1,98.1,98,98.1,97.9,97.6
锦州,118.2,116.4,115.3,114.7,114.9,114.8,114.5,113.7,113.1,111.5,111.7,109.8,107.4,105.7,104.2,102.3,101.7,101.2,100.7,100.4,99.7,98.8,96.9,97.6,97.5,97.2,97,96.7,96.8,96.6,96.3,96.2,96,95.6,96.1,96
长春,136.8,135.4,133.7,132.4,131.3,131.1,129.4,128.8,128,127.7,126.9,125.9,124.6,122.3,121.2,120.9,120,118.9,117,115.5,114.5,113.3,113.4,112.6,111.3,110.6,110,109.1,108.7,107.9,106.9,105.7,104.7,103.9,103.6,103.4
吉林,133.7,132.6,131.4,130.1,128.7,127.9,127.4,126.5,125.7,125,124.4,122.1,121.3,119.6,117.8,116.6,113.9,112.1,110.7,110.3,109.6,109.3,109.6,108.5,108.2,107.8,107.2,106.6,105.9,104.9,104.3,103.4,102.6,101.8,101.4,101.5
哈尔滨,142.4,141.5,139.6,138.4,137.2,136.6,135.2,134.3,133.2,131.9,131.1,130,129.3,128.1,125.5,124,122.8,120.2,118.6,117.2,115.6,114.5,114.3,113.6,112.5,112.1,110.3,109.4,109.1,108.4,106.7,104.7,104.1,103.4,102.5,102.7
牡丹江,123.2,123.2,122.6,122.8,122.2,121.1,120.9,119.8,119.3,119,118.4,116.5,115.5,115,113.1,111.4,109.9,108.4,106.2,106.2,105.3,104.8,105,104.4,103.1,102.5,102,101.9,101.1,100.5,100.4,99.7,98.9,98.3,98.2,98
上海,149.7,149.2,148.7,148,147.5,147.7,147.2,147.3,146.9,147,146.5,146.4,145.6,144.8,144.7,144.9,144.7,144.8,144.8,145.1,145.2,144.9,145.1,145.8,145.4,145.4,145,145.1,145.1,145.1,145.4,145.4,145.6,145.7,145.4,145.5
