地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京,149843,134994,122749,113073,103400,93997,85306,75835,65683,58140
天津,103931,96965,87806,81486,73839,68864,65398,55636,52963,44992
石家庄,75114,67880,61189,54441,48272,43712,38426,35132,31459,27370
太原,80825,72114,64820,60516,57771,51161,48905,44868,38839,33140
呼和浩特,71387,63084,56213,53698,50469,48797,65637,42797,37694,33993
沈阳,82067,74181,67444,61827,56590,52389,49898,45756,41900,38577
大连,87592,81884,73764,69390,63609,58946,54821,49728,44615,38765
长春,80425,73469,68434,62519,56977,52220,46673,41471,35721,30448
哈尔滨,71771,67542,62583,58405,51554,47150,41773,36450,32411,29251
上海,142983,130765,120503,109279,100623,91477,80191,77031,71874,63549
南京,111071,101502,90191,81075,77286,66222,63152,54712,48782,43623
杭州,106709,96670,87153,77816,70823,64958,56418,54408,48772,43947
宁波,102325,91705,83656,74989,70228,63362,56255,49756,43476,39138
合肥,89022,77484,71054,65806,59648,54177,50724,45442,39291,34144
福州,83175,75133,67630,62478,58838,53420,48088,42240,34805,30704
厦门,85166,75452,69218,66930,63062,61754,52673,46414,40283,36455
南昌,82672,72686,65812,57730,51848,46892,43769,39816,35038,30450
济南,91651,84645,77012,68997,62323,55840,48829,44004,37854,35661
青岛,90840,83539,76616,69465,62097,55334,49052,43162,37804,33257
郑州,80963,70486,61149,52987,49756,45066,40472,35756,32778,29837
武汉,88327,79684,71963,65720,60624,53684,48942,45644,39302,
长沙,93293,85187,77782,67266,61847,56215,50905,44495,38338,34888
广州,111839,98612,89096,81171,74246,73678,67515,57474,54494,49518
深圳,111709,100173,89757,81034,73492,77721,59010,55142,50455,46715
南宁,83452,75481,68560,66749,54330,49806,44144,40119,37040,32596
海口,77632,68037,62030,57455,50653,45058,40486,38060,34192,30639
重庆,81764,73272,67386,62091,56852,51015,45392,40042,35326,30965
成都,88011,79292,74408,69123,63201,56581,48302,42363,38603,34195
贵阳,82685,73939,70535,63949,59330,50654,42662,38673,31129,27579
昆明,80253,76350,68375,62033,58153,51119,45094,41645,32022,29889
拉萨,126936,111092,111009,114582,72468,69403,65150,55740,,46678
西安,87125,77774,69611,63193,54098,54388,46688,41679,37872,
兰州,85575,75709,67011,62201,54008,49424,44488,38968,33964,28996
西宁,84071,73540,61069,58099,54914,47343,44086,38443,32220,28124
银川,87291,77206,70840,65643,59080,56565,54274,49938,39816,
乌鲁木齐,85990,78072,73254,67617,61617,56680,51135,47178,40649,36500
