region,地区,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京,房地产开发投资额,2026.06,1694.67,1925.86,1889.54,1846.08,1724.56,1627.99,1778.31,1508.95,906.62
天津,房地产开发投资额,1863.5,1559.7,1598.27,1251.53,1122.26,986.28,843.05,689.28,565.39,494.86
石家庄,房地产开发投资额,731.67,867.67,663.78,635.89,685.33,615.7,592.27,548.67,412.25,287.33
太原,房地产开发投资额,397.34,329.21,494.58,437.34,341.08,300.29,257.02,245.8,185.16,115.13
呼和浩特,房地产开发投资额,120.29,179.85,370.69,356.35,410.07,392.13,302.19,244.17,192.63,127.44
沈阳,房地产开发投资额,775.06,620.45,490.38,934.97,1416.34,1574.58,1331.43,1260.96,1004.34,802.12
大连,房地产开发投资额,514.46,404.45,392.47,682.18,1064.7,1257.97,1055.41,869.69,575.65,477.24
长春,房地产开发投资额,529.53,376.6,401.45,355.03,359.21,435.52,493.22,502.53,427.46,347.39
哈尔滨,房地产开发投资额,372.1,315.08,361.6,413.31,493.81,583.86,544.79,428.13,288.41,220.62
上海,房地产开发投资额,2225.92,2152.4,1965.43,1813.32,1724.65,1615.51,1451.94,1465.52,1229.83,918.68
南京,房地产开发投资额,1574.64,1569.52,1392.76,1080.97,796.27,729.13,660.94,637.52,570.31,439.41
杭州,房地产开发投资额,1953.3,1713.13,1560.2,1442.21,1337.92,1169.56,1001.74,751.02,676.27,509.64
宁波,房地产开发投资额,1101.06,932.47,792.68,747.55,773.25,642.33,515.65,392.34,323.12,237.64
合肥,房地产开发投资额,1165.86,1095.45,861.02,778.73,715.04,674.35,578.5,625.58,561.62,468.19
福州,房地产开发投资额,966.43,1176.99,1123.59,856.65,926.58,865.41,628.48,680.08,384.28,252.19
厦门,房地产开发投资额,536.32,550.36,427.6,458.7,384.62,304.19,289.49,248.52,207.43,182.1
南昌,房地产开发投资额,612.79,486.38,471.84,360.56,304.67,241.24,221.33,206.51,171.27,158.66
济南,房地产开发投资额,929.59,822.84,805.76,725.65,613.86,514.12,445.38,404.02,364.56,255.52
青岛,房地产开发投资额,1034.84,925.51,956.18,756.91,731.11,668.12,595,572.6,450.99,313.75
郑州,房地产开发投资额,2345.82,2418.66,1916.4,1338.16,1176.93,910.46,675.65,624.31,555.74,392.34
武汉,房地产开发投资额,1957.17,1840.31,1726.79,1777.93,1560.55,1250.78,991.41,747.44,595.33,498.04
长沙,房地产开发投资额,908.77,809.32,693.59,642.21,858.26,769.46,701.01,692.78,516.22,392.89
广州,房地产开发投资额,1733.76,1769.49,1594.44,1331.03,994.9,950.68,827.61,789.51,548.45,501.72
深圳,房地产开发投资额,1303.33,1009.65,1044.54,897.13,730.28,590.48,474.6,353.21,304.89,289.78
南宁,房地产开发投资额,772.04,679.13,583.2,465.04,368.23,302.38,253.98,269.18,231.71,158.46
海口,房地产开发投资额,419.31,412.59,342.41,276.14,207.9,205.73,130.21,116.11,82.57,68.34
重庆,房地产开发投资额,3012.65,2632.88,2319.97,2390.49,2451.37,2044.24,1706.77,1438.45,1091.49,789.02
成都,房地产开发投资额,1245.9,1300.46,1417.95,1472.25,1349.41,1290.45,1171.16,1035.84,804.29,634.82
贵阳,房地产开发投资额,639.74,595.06,490.16,583.02,627.19,627.94,568.49,302.77,165.02,136.46
昆明,房地产开发投资额,1161.24,1058.9,931.82,875.87,934.93,868.95,585.99,427.61,323.72,301.46
西安,房地产开发投资额,1446.51,1505.03,1337.35,1304.6,1321.91,1226.28,1003.85,836.05,670.41,566.77
兰州,房地产开发投资额,300.07,264.71,238.01,211.21,212.53,171.02,131.72,91.32,67,52.04
西宁,房地产开发投资额,175.33,171.17,173.38,159.04,151.67,124.46,118.69,69.1,64.11,46.6
银川,房地产开发投资额,198.2,240.25,278.16,254.1,239.01,195.68,175.51,148.7,122.72,74.59
乌鲁木齐,房地产开发投资额,411.24,242.82,201.46,243.52,213.17,198.98,174.47,158.25,114.01,88.43
