地区,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
北京,526.76,608.78,981.37,1126.84,1136.53,1363.67,1483.37,1034.96,1201.39,1880.45
天津,1140.73,1342.87,2521.87,1674.78,1483.64,1720.34,1511.4,1365.71,1302.61,1461.47
河北,4714.42,5576.99,5899.72,5161.65,5015.06,5020.13,4622.46,5293.18,4325.12,2819.77
山西,2215.59,2246.28,1881.51,1481.14,1433.91,1484.37,1390.44,1170.88,1070.54,964.05
内蒙古,1702.39,1726.16,2073.36,1944.92,1995.68,2263.65,2104.22,2911.16,2569.84,2253.98
辽宁,3554.81,3797.05,3383.08,3477.26,4932.08,8014.8,7655.4,6624.05,6013.5,4864.25
吉林,1813.82,1602.06,1630.72,1304.82,1387.87,1985.95,2159.43,2122.39,2105.33,1758.37
黑龙江,1665.58,1868.14,1797.02,1710.6,2131.46,2944.23,3226.22,2947.84,2385.68,1751.22
上海市,1333.29,1341.62,2019.8,2009.17,1780.91,2015.81,1592.63,1500,1690.82,2928.04
江苏,12040.68,12486.66,12657.66,10275.95,8800.93,10191.52,7923.37,6767.25,8112.37,9034.69
浙江,7936.17,7669.7,7234.19,5131.88,3941.49,4097.63,3316.23,2757.18,3833.74,4760.12
安徽,8901.25,7949.28,7506.87,5356.81,5364.94,5573.53,4275.43,3991.99,3641.88,3646.44
福建,4781.58,4526.13,4134.46,3315.69,3324.1,3957.46,2741.96,2213.3,2139.26,2420.83
江西,5389,4964.97,4140.55,3145.83,2775.22,2846.04,2125.9,2156.77,2265.72,2108.07
山东,11755.37,11201.04,10598.58,8526.85,7972.49,9300.29,7745.87,8741.16,8448.26,6478.28
河南,12482.88,11707.26,10137.13,7645.84,7009.09,6561.41,5455.5,5725.12,5092.49,4017.45
湖北,8101.71,7363.67,6789.21,5647.72,5002.6,4765.68,3620.1,3788.68,3236.88,2576.32
湖南,7997.94,7368.27,7190.66,5671.19,4852.32,5411.48,4664.08,4455.59,4140.07,3262.34
广东,12075.1,13522.51,13021.97,10497.62,8163.56,8830.95,7157.63,6706.6,6552.81,6567.43
广西,5589.89,4687.41,3864.01,3181.51,2869.32,2765.15,2546.96,2749.33,2607.15,2249.7
海南,1298.82,2173.12,1417.09,984.79,942.84,1154.86,898.35,819.02,834.19,545.91
重庆,5424.76,5452.65,5105.46,4477.71,4423.68,4359.19,4105.11,4063.42,3986.31,3771.22
四川,9895.35,8786.61,7884.09,6495.43,6176.51,6505.32,5679.33,5826.52,5849.34,5553.13
贵州,4441.44,3897.65,3426.96,2943.37,2707.09,2646.98,2002.4,1698.52,1596.3,1541.91
云南,3643.93,3484.49,2933.1,2576.8,2618.02,2855.52,2789.68,2829.58,2658.99,2040.33
西藏,62.1,44.96,71.16,46.32,53.64,22.78,20.65,17.29,18.76,61.42
陕西,3545.6,3419.84,3012.61,2717.98,2836.69,2831.22,2530.84,2874.51,2471.95,1995.67
甘肃,1437.95,1386.04,1478.81,1307.48,1212.6,1134.81,893.36,758.15,692.07,659.38
青海,377.41,399.57,373.03,329.71,362.92,369.7,246.85,342.56,266.43,208.02
宁夏,887.97,870.28,830.22,708.12,939.37,928.26,707.57,705.13,816.79,677.98
新疆,1195.14,1316.7,1543.66,1536.49,1541.25,1799.95,1274.8,1570.56,1450.02,1326.67
